Name1,Name2,Co-mentions,Average Sentiment
Donald Trump,Devin Nunes,16,0.0990293758261424
Donald Trump,Marjorie K. Eastman,6,0.128012507460937
Donald Trump,Val Demings,6,0.128012507460937
Donald Trump,Jim Lamon,8,0.1369116362348005
Donald Trump,Kelly Tshibaka,6,0.1277481614919732
Donald Trump,George P. Bush,10,0.1446250853544436
Donald Trump,Adam Laxalt,6,0.128012507460937
Donald Trump,Alex Lasry,8,0.1369116362348005
Donald Trump,Quaye Quartey,6,0.1182138260857242
Donald Trump,Mark Kelly,10,0.0970390641410032
Donald Trump,Blake Masters,6,0.128012507460937
Donald Trump,Eric Schmitt,6,0.128012507460937
Donald Trump,Doug Mastriano,8,0.1008762024234078
Donald Trump,Marco Rubio,12,0.0963304195021228
Donald Trump,Greg Abbott,18,0.0892505412739729
Donald Trump,Kevin Smith,6,0.128012507460937
Donald Trump,Jon Ossoff,8,0.0901055176946264
Donald Trump,Don Huffines,6,0.1455187416063033
Donald Trump,Lisa Murkowski,10,0.0946738409926471
Donald Trump,Tim Ryan,6,0.128012507460937
Donald Trump,Mark Finchem,6,0.1217965825153942
Donald Trump,Mark Brnovich,10,0.1063856684212034
Donald Trump,Richard Burr,6,0.128012507460937
Donald Trump,Maggie Hassan,6,0.128012507460937
Donald Trump,Sherrod Brown,6,0.128012507460937
Donald Trump,Madison Cawthorn,18,0.085511787067968
Donald Trump,Tom Perez,8,0.0277142640207641
Donald Trump,Josh Hawley,10,0.0548668976879755
Donald Trump,Mehmet Oz,8,0.1369116362348005
Donald Trump,Raphael Warnock,16,0.1039758917707234
Donald Trump,Brad Raffensperger,8,0.1008762024234078
Donald Trump,Stacey Abrams,8,0.1008762024234078
Donald Trump,Louie Gohmert,8,0.1457990334607312
Donald Trump,Ted Budd,6,0.128012507460937
Donald Trump,Van Taylor,6,0.1340846329981466
Donald Trump,Chris Sununu,6,0.128012507460937
Donald Trump,Rudy Salas,6,0.1182138260857242
Donald Trump,Kamala Harris,14,0.1040541963088525
Donald Trump,Jeff Bartos,6,0.128012507460937
Donald Trump,Billy Long,6,0.128012507460937
Donald Trump,Kelly Loeffler,12,0.1367724777460439
Donald Trump,David Valadao,10,0.1071674712714391
Donald Trump,Tom Wolf,8,0.0906887086401957
Donald Trump,Elizabeth Warren,8,0.1326693578517065
Donald Trump,Catherine Cortez Masto,6,0.128012507460937
Donald Trump,Pat Toomey,6,0.128012507460937
Donald Trump,Andrew Cuomo,6,0.1385469356038004
Donald Trump,Henry Cuellar,8,0.1457990334607312
Donald Trump,Pat McCrory,10,0.0998384704355724
Donald Trump,Carla Sands,6,0.128012507460937
Donald Trump,Lucas Kunce,6,0.128012507460937
Donald Trump,Alexandria Ocasio,7,0.1235081366751274
Donald Trump,Herschel Walker,14,0.0463294688163354
Donald Trump,Matt Dolan,8,0.1369116362348005
Donald Trump,Mark Walker,6,0.128012507460937
Donald Trump,Don Bolduc,6,0.128012507460937
Donald Trump,Maggie HassanDemocratic,6,0.128012507460937
Donald Trump,Katie Hobbs,8,0.1008762024234078
Donald Trump,Brian Kemp,14,0.0963152867940604
Donald Trump,Sean Parnell,6,0.128012507460937
Donald Trump,Cheri Beasley,6,0.128012507460937
Donald Trump,Conor Lamb,6,0.128012507460937
Donald Trump,Christy Smith,6,0.1182138260857242
Donald Trump,Jane Timken,8,0.1369116362348005
Donald Trump,Ron DeSantis,18,0.0716787438410619
Donald Trump,Roy Blunt,12,0.1031664360189402
Donald Trump,Bill Clinton,10,0.0694505301024696
Donald Trump,Barack Obama's,14,0.0971412809284765
