,Name1,Name2,Co-mentions,Average Sentiment
1758,Donald Trump,David Billings,8,0.0429488976545935
1759,Donald Trump,Robert E Lee,8,0.0302942189976549
1766,Donald Trump,Richard Spencer,8,0.0302942189976549
1778,Donald Trump,Jerald Podair,8,0.0375088192289519
1798,Donald Trump,Jim Crow,12,0.0703068913438841
1804,Donald Trump,John Blake,8,0.066570855319222
1810,Donald Trump,Tawanda Scott,8,0.066570855319222
1824,Donald Trump,Justin Trudeau,8,0.1023128856792719
1841,Donald Trump,Jesse Helms,6,0.0746891846585442
1899,Donald Trump,Tim Cook,8,0.0651404071097253
1913,Donald Trump,Bill Gates,14,0.061890534477193
1919,Donald Trump,George Washingtons,8,0.0775708778006001
1949,Donald Trump,Anderson Cooper,10,0.0285084245819539
2052,Donald Trump,Michael Flynn,16,0.0441269766523954
2058,Donald Trump,Scott Bronstein,12,0.0495708702003786
2059,Donald Trump,Yahya AbouGhazala,32,0.0461639148056018
2063,Donald Trump,Doug Logan,12,0.0549981571818443
2066,Donald Trump,Drew Griffin,20,-0.0134187672550766
2071,Donald Trump,Curt Devine,16,0.0679154064687432
2075,Donald Trump,Sidney Powell,12,0.0523281486505918
2076,Donald Trump,Audrey Ash,12,0.0330404576609085
2083,Donald Trump,Nelli Black,16,0.0038038086508554
2093,Donald Trump,Mike Lindell,8,0.0594903208371383
2098,Donald Trump,Harri Hursti,8,0.0676310896078413
2104,Donald Trump,Bin Laden,8,0.0100719457517337
2111,Donald Trump,Osama bin Laden,12,0.0077952715399558
2115,Donald Trump,bin Laden,8,0.0100719457517337
2125,Donald Trump,Karen Fann,8,0.045524530841965
2129,Donald Trump,Christina Bobb,8,0.045524530841965
2136,Donald Trump,Ashli Babbitt,8,0.0257254541346595
2162,Donald Trump,LeBron James,14,0.0739516446890796
2181,Donald Trump,Alex Jones,8,0.0373836003697663
2184,Donald Trump,Ali Alexander,16,0.0473542165070739
2189,Donald Trump,Benjamin Naughton,12,0.0182119424943865
2193,Donald Trump,Anthony Fauci,8,0.0373836003697663
2196,Donald Trump,Melanie Hicken,12,0.0535609093616993
2197,Donald Trump,Blake Ellis,11,0.0573962435140976
2213,Donald Trump,Charlie Kirk,6,0.05896004396358
2218,Donald Trump,Xi Jinping,8,0.0666186242063636
2228,Donald Trump,Bob Ortega,8,0.0458837621708435
2231,Donald Trump,Nick Ochs,8,0.1075485708375319
2232,Donald Trump,Michael T Flynn,8,0.0244485985676552
2239,Donald Trump,Andy Biggs,8,0.0129904385332016
2241,Donald Trump,William Barr,8,0.0455402521455153
2259,Donald Trump,Brian Sicknick,8,0.024105088542327
2294,Donald Trump,Alexey Navalny,10,0.0134011334975454
2300,Donald Trump,Gregg Popovich,6,0.0952708735531959
2301,Donald Trump,Doc Rivers,6,0.0477446527802218
2302,Donald Trump,Steve Kerr,6,0.0988741331970498
2305,Donald Trump,Ursula von der Leyen,8,0.0873093092941622
2306,Donald Trump,Antony Blinken,12,0.0560398978718538
2312,Donald Trump,Luke McGee,6,0.1184363378881038
2314,Donald Trump,Boris Johnson,26,0.0898175871778224
2317,Donald Trump,Emmanuel Macron,22,0.0875246492638124
2322,Donald Trump,Angela Merkel,22,0.0897273938538611
